"Stock Number","Population Name","Year","Abundance Quantity","Production Type","Calculation Type","Report Types"
1553,"Upper Cowlitz River - spring Chinook salmon",2011,191,"Natural","Expanded","SCoRE,SOS"
1553,"Upper Cowlitz River - spring Chinook salmon",2012,321,"Natural","Expanded","SCoRE,SOS"
1553,"Upper Cowlitz River - spring Chinook salmon",2013,409,"Natural","Expanded","SCoRE,SOS"
1553,"Upper Cowlitz River - spring Chinook salmon",2014,227,"Natural","Expanded","SCoRE,SOS"
1553,"Upper Cowlitz River - spring Chinook salmon",2015,187,"Natural","Expanded","SCoRE,SOS"
1553,"Upper Cowlitz River - spring Chinook salmon",2016,200,"Natural","Expanded","SCoRE,SOS"
1553,"Upper Cowlitz River - spring Chinook salmon",2017,149,"Natural","Expanded","SCoRE,SOS"
1553,"Upper Cowlitz River - spring Chinook salmon",2018,154,"Natural","Expanded","SCoRE,SOS"
1553,"Upper Cowlitz River - spring Chinook salmon",2019,55,"Natural","Expanded","SCoRE,SOS"
1634,"Upper Gorge Tributaries - fall Chinook salmon",2010,441,"Natural","Expanded","SCoRE,SOS"
1634,"Upper Gorge Tributaries - fall Chinook salmon",2011,1186,"Natural","Expanded","SCoRE,SOS"
1634,"Upper Gorge Tributaries - fall Chinook salmon",2012,338,"Natural","Expanded","SCoRE,SOS"
1634,"Upper Gorge Tributaries - fall Chinook salmon",2013,608,"Natural","Expanded","SCoRE,SOS"
1634,"Upper Gorge Tributaries - fall Chinook salmon",2014,541,"Natural","Expanded","SCoRE,SOS"
1634,"Upper Gorge Tributaries - fall Chinook salmon",2015,1225,"Natural","Expanded","SCoRE,SOS"
1634,"Upper Gorge Tributaries - fall Chinook salmon",2016,544,"Natural","Expanded","SCoRE,SOS"
1634,"Upper Gorge Tributaries - fall Chinook salmon",2017,577,"Natural","Expanded","SCoRE,SOS"
1634,"Upper Gorge Tributaries - fall Chinook salmon",2018,218,"Natural","Expanded","SCoRE,SOS"
1624,"Washougal River - fall Chinook salmon",2010,589,"Natural","Expanded","SCoRE,SOS"
1624,"Washougal River - fall Chinook salmon",2011,473,"Natural","Expanded","SCoRE,SOS"
1624,"Washougal River - fall Chinook salmon",2012,256,"Natural","Expanded","SCoRE,SOS"
1624,"Washougal River - fall Chinook salmon",2013,1197,"Natural","Expanded","SCoRE,SOS"
1624,"Washougal River - fall Chinook salmon",2014,997,"Natural","Expanded","SCoRE,SOS"
1624,"Washougal River - fall Chinook salmon",2015,1332,"Natural","Expanded","SCoRE,SOS"
1624,"Washougal River - fall Chinook salmon",2016,883,"Natural","Expanded","SCoRE,SOS"
1624,"Washougal River - fall Chinook salmon",2017,655,"Natural","Expanded","SCoRE,SOS"
1624,"Washougal River - fall Chinook salmon",2018,903,"Natural","Expanded","SCoRE,SOS"
1656,"White Salmon River - fall Chinook salmon",2010,1369,"Natural","Expanded","SCoRE,SOS"
1656,"White Salmon River - fall Chinook salmon",2011,640,"Natural","Expanded","SCoRE,SOS"
1656,"White Salmon River - fall Chinook salmon",2012,555,"Natural","Expanded","SCoRE,SOS"
1656,"White Salmon River - fall Chinook salmon",2013,648,"Natural","Expanded","SCoRE,SOS"
1656,"White Salmon River - fall Chinook salmon",2014,801,"Natural","Expanded","SCoRE,SOS"
1656,"White Salmon River - fall Chinook salmon",2015,375,"Natural","Expanded","SCoRE,SOS"
1656,"White Salmon River - fall Chinook salmon",2016,384,"Natural","Expanded","SCoRE,SOS"
1656,"White Salmon River - fall Chinook salmon",2017,402,"Natural","Expanded","SCoRE,SOS"
1656,"White Salmon River - fall Chinook salmon",2018,110,"Natural","Expanded","SCoRE,SOS"
1658,"White Salmon River - spring Chinook salmon",2013,15,"Natural","Expanded","SCoRE,SOS"
1658,"White Salmon River - spring Chinook salmon",2014,21,"Natural","Expanded","SCoRE,SOS"
1658,"White Salmon River - spring Chinook salmon",2015,15,"Natural","Expanded","SCoRE,SOS"
1658,"White Salmon River - spring Chinook salmon",2016,6,"Natural","Expanded","SCoRE,SOS"
1658,"White Salmon River - spring Chinook salmon",2017,5,"Natural","Expanded","SCoRE,SOS"
1658,"White Salmon River - spring Chinook salmon",2018,9,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",1999,83,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2000,273,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2001,625,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2002,340,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2003,298,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2004,380,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2005,420,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2006,478,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2007,223,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2008,284,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2009,338,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2010,330,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2011,265,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2012,488,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2013,310,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2014,225,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2015,188,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2016,295,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2017,323,"Natural","Expanded","SCoRE,SOS"
1072,"Cascade River - spring Chinook salmon",2018,128,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2004,842,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2005,582,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2006,1164,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2007,1893,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2008,1346,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2009,577,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2010,542,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2011,646,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2012,881,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2013,1570,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2014,306,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2015,1192,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2016,615,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2017,1564,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2018,666,"Natural","Expanded","SCoRE,SOS"
1144,"Cedar River - fall Chinook salmon",2019,606,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2001,17,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2002,115,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2003,123,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2004,182,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2005,304,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2006,293,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2007,146,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2008,86,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2009,71,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2010,76,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2011,83,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2012,212,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2013,46,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2014,21,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2015,65,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2016,135,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2017,149,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2018,127,"Natural","Expanded","SCoRE,SOS"
1240,"Dungeness River - summer Chinook salmon",2019,173,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2009,14,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2010,33,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2011,26,"Natural","Expanded","SCoRE,SOS"
1248,"Elwha River - fall Chinook salmon",2012,141,"Natural","Expanded","SCoRE,SOS"
