"ESU_DPS","ESU_DPS_COMMONNAME","MAJORPOPGROUP","COMMONPOPNAME2","COMMONNAME","RUN","WATERBODY","SPAWNINGYEAR","final_abundance","final_abundance_data_type","METHODNUMBER","dsid"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2018,48,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2019,39,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2020,75,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2021,72,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2022,138,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2023,64,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2024,41,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2025,68,"NOSAEJ",2,"e84feb8d-94be-4154-836d-f697317489e0"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2010,1583,"NOSAEJ",1,"6432333c-b8ef-45c6-a1f3-302263555283"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2011,1672,"NOSAEJ",1,"6432333c-b8ef-45c6-a1f3-302263555283"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2012,1320,"NOSAEJ",1,"6432333c-b8ef-45c6-a1f3-302263555283"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2015,3476,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2016,2568,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2017,2419,"NOSAEJ",1,"8b845e6d-5843-4c25-a37b-90b2ddc1e313"
